Date,Year,Month,Decade,Season,Monthly_Anomaly,Monthly_Unc,Is_Positive_Anomaly,Is_Cold_Month,Is_Hot_Month,Above_1C,Above_1_5C,Above_2C
1864-03-01,1864,3,1860,Spring,-0.426,0.3,False,False,False,False,False,False
1864-04-01,1864,4,1860,Spring,-0.402,0.26,False,False,False,False,False,False
1864-05-01,1864,5,1860,Spring,-0.131,0.219,False,False,False,False,False,False
1864-06-01,1864,6,1860,Summer,-0.089,0.209,False,False,False,False,False,False
1864-07-01,1864,7,1860,Summer,-0.187,0.217,False,False,False,False,False,False
1864-08-01,1864,8,1860,Summer,-0.338,0.241,False,False,False,False,False,False
1864-09-01,1864,9,1860,Autumn,-0.488,0.23,False,False,False,False,False,False
1864-10-01,1864,10,1860,Autumn,-0.343,0.237,False,False,False,False,False,False
1864-11-01,1864,11,1860,Autumn,-0.389,0.307,False,False,False,False,False,False
1864-12-01,1864,12,1860,Winter,-0.456,0.252,False,False,False,False,False,False
1865-01-01,1865,1,1860,Winter,0.075,0.322,True,False,False,False,False,False
1865-02-01,1865,2,1860,Winter,-0.305,0.302,False,False,False,False,False,False
1865-03-01,1865,3,1860,Spring,-0.416,0.287,False,False,False,False,False,False
1865-04-01,1865,4,1860,Spring,-0.382,0.262,False,False,False,False,False,False
1865-05-01,1865,5,1860,Spring,-0.269,0.216,False,False,False,False,False,False
1865-06-01,1865,6,1860,Summer,-0.263,0.198,False,False,False,False,False,False
1865-07-01,1865,7,1860,Summer,-0.187,0.237,False,False,False,False,False,False
1865-08-01,1865,8,1860,Summer,-0.194,0.224,False,False,False,False,False,False
1865-09-01,1865,9,1860,Autumn,-0.222,0.247,False,False,False,False,False,False
1865-10-01,1865,10,1860,Autumn,-0.205,0.263,False,False,False,False,False,False
1865-11-01,1865,11,1860,Autumn,-0.169,0.319,False,False,False,False,False,False
1865-12-01,1865,12,1860,Winter,-0.479,0.32,False,False,False,False,False,False
1866-01-01,1866,1,1860,Winter,0.025,0.369,True,False,False,False,False,False
1866-02-01,1866,2,1860,Winter,-0.359,0.409,False,False,False,False,False,False
1866-03-01,1866,3,1860,Spring,-0.454,0.358,False,False,False,False,False,False
1866-04-01,1866,4,1860,Spring,-0.511,0.271,False,True,False,False,False,False
1866-05-01,1866,5,1860,Spring,-0.352,0.228,False,False,False,False,False,False
1866-06-01,1866,6,1860,Summer,-0.251,0.188,False,False,False,False,False,False
1866-07-01,1866,7,1860,Summer,0.111,0.25,True,False,False,False,False,False
1866-08-01,1866,8,1860,Summer,-0.224,0.254,False,False,False,False,False,False
1866-09-01,1866,9,1860,Autumn,-0.307,0.236,False,False,False,False,False,False
1866-10-01,1866,10,1860,Autumn,-0.248,0.261,False,False,False,False,False,False
1866-11-01,1866,11,1860,Autumn,-0.051,0.251,False,False,False,False,False,False
1866-12-01,1866,12,1860,Winter,0.089,0.257,True,False,False,False,False,False
1867-01-01,1867,1,1860,Winter,-0.153,0.342,False,False,False,False,False,False
1867-02-01,1867,2,1860,Winter,-0.333,0.342,False,False,False,False,False,False
1867-03-01,1867,3,1860,Spring,-0.285,0.277,False,False,False,False,False,False
1867-04-01,1867,4,1860,Spring,-0.139,0.274,False,False,False,False,False,False
1867-05-01,1867,5,1860,Spring,-0.387,0.205,False,False,False,False,False,False
1867-06-01,1867,6,1860,Summer,-0.202,0.185,False,False,False,False,False,False
1867-07-01,1867,7,1860,Summer,-0.192,0.24,False,False,False,False,False,False
1867-08-01,1867,8,1860,Summer,-0.269,0.239,False,False,False,False,False,False
1867-09-01,1867,9,1860,Autumn,-0.143,0.221,False,False,False,False,False,False
1867-10-01,1867,10,1860,Autumn,0.018,0.262,True,False,False,False,False,False
1867-11-01,1867,11,1860,Autumn,0.25,0.399,True,False,False,False,False,False
1867-12-01,1867,12,1860,Winter,-0.162,0.487,False,False,False,False,False,False
1868-01-01,1868,1,1860,Winter,-0.504,0.354,False,True,False,False,False,False
1868-02-01,1868,2,1860,Winter,-0.651,0.253,False,True,False,False,False,False
1868-03-01,1868,3,1860,Spring,-0.31,0.256,False,False,False,False,False,False
1868-04-01,1868,4,1860,Spring,-0.119,0.276,False,False,False,False,False,False
1868-05-01,1868,5,1860,Spring,-0.085,0.23,False,False,False,False,False,False
1868-06-01,1868,6,1860,Summer,-0.123,0.187,False,False,False,False,False,False
1868-07-01,1868,7,1860,Summer,0.054,0.21,True,False,False,False,False,False
1868-08-01,1868,8,1860,Summer,-0.062,0.204,False,False,False,False,False,False
1868-09-01,1868,9,1860,Autumn,-0.258,0.209,False,False,False,False,False,False
1868-10-01,1868,10,1860,Autumn,0.001,0.202,True,False,False,False,False,False
1868-11-01,1868,11,1860,Autumn,-0.326,0.247,False,False,False,False,False,False
1868-12-01,1868,12,1860,Winter,-0.143,0.249,False,False,False,False,False,False
1869-01-01,1869,1,1860,Winter,-0.212,0.278,False,False,False,False,False,False
1869-02-01,1869,2,1860,Winter,0.04,0.473,True,False,False,False,False,False
1869-03-01,1869,3,1860,Spring,-0.517,0.282,False,True,False,False,False,False
1869-04-01,1869,4,1860,Spring,-0.259,0.241,False,False,False,False,False,False
1869-05-01,1869,5,1860,Spring,-0.166,0.194,False,False,False,False,False,False
1869-06-01,1869,6,1860,Summer,-0.18,0.284,False,False,False,False,False,False
1869-07-01,1869,7,1860,Summer,-0.231,0.205,False,False,False,False,False,False
1869-08-01,1869,8,1860,Summer,-0.185,0.223,False,False,False,False,False,False
1869-09-01,1869,9,1860,Autumn,-0.083,0.208,False,False,False,False,False,False
1869-10-01,1869,10,1860,Autumn,-0.213,0.201,False,False,False,False,False,False
1869-11-01,1869,11,1860,Autumn,-0.195,0.191,False,False,False,False,False,False
1869-12-01,1869,12,1860,Winter,-0.412,0.208,False,False,False,False,False,False
1870-01-01,1870,1,1870,Winter,-0.304,0.254,False,False,False,False,False,False
1870-02-01,1870,2,1870,Winter,-0.483,0.277,False,False,False,False,False,False
1870-03-01,1870,3,1870,Spring,-0.34,0.247,False,False,False,False,False,False
1870-04-01,1870,4,1870,Spring,-0.271,0.21,False,False,False,False,False,False
1870-05-01,1870,5,1870,Spring,-0.193,0.203,False,False,False,False,False,False
1870-06-01,1870,6,1870,Summer,-0.087,0.175,False,False,False,False,False,False
1870-07-01,1870,7,1870,Summer,-0.087,0.184,False,False,False,False,False,False
1870-08-01,1870,8,1870,Summer,-0.276,0.182,False,False,False,False,False,False
1870-09-01,1870,9,1870,Autumn,-0.199,0.196,False,False,False,False,False,False
1870-10-01,1870,10,1870,Autumn,-0.321,0.183,False,False,False,False,False,False
1870-11-01,1870,11,1870,Autumn,-0.323,0.283,False,False,False,False,False,False
1870-12-01,1870,12,1870,Winter,-0.569,0.213,False,True,False,False,False,False
1871-01-01,1871,1,1870,Winter,-0.545,0.276,False,True,False,False,False,False
1871-02-01,1871,2,1870,Winter,-0.605,0.316,False,True,False,False,False,False
1871-03-01,1871,3,1870,Spring,-0.259,0.203,False,False,False,False,False,False
1871-04-01,1871,4,1870,Spring,-0.059,0.191,False,False,False,False,False,False
1871-05-01,1871,5,1870,Spring,-0.276,0.188,False,False,False,False,False,False
1871-06-01,1871,6,1870,Summer,-0.215,0.191,False,False,False,False,False,False
1871-07-01,1871,7,1870,Summer,-0.147,0.198,False,False,False,False,False,False
1871-08-01,1871,8,1870,Summer,-0.188,0.182,False,False,False,False,False,False
1871-09-01,1871,9,1870,Autumn,-0.395,0.185,False,False,False,False,False,False
1871-10-01,1871,10,1870,Autumn,-0.242,0.189,False,False,False,False,False,False
1871-11-01,1871,11,1870,Autumn,-0.536,0.273,False,True,False,False,False,False
1871-12-01,1871,12,1870,Winter,-0.388,0.219,False,False,False,False,False,False
1872-01-01,1872,1,1870,Winter,-0.45,0.322,False,False,False,False,False,False
1872-02-01,1872,2,1870,Winter,-0.401,0.271,False,False,False,False,False,False
1872-03-01,1872,3,1870,Spring,-0.347,0.213,False,False,False,False,False,False
1872-04-01,1872,4,1870,Spring,-0.352,0.215,False,False,False,False,False,False
1872-05-01,1872,5,1870,Spring,-0.177,0.181,False,False,False,False,False,False
1872-06-01,1872,6,1870,Summer,-0.256,0.164,False,False,False,False,False,False
1872-07-01,1872,7,1870,Summer,-0.107,0.182,False,False,False,False,False,False
1872-08-01,1872,8,1870,Summer,-0.035,0.187,False,False,False,False,False,False
1872-09-01,1872,9,1870,Autumn,-0.187,0.187,False,False,False,False,False,False
1872-10-01,1872,10,1870,Autumn,-0.198,0.181,False,False,False,False,False,False
1872-11-01,1872,11,1870,Autumn,-0.421,0.266,False,False,False,False,False,False
1872-12-01,1872,12,1870,Winter,-0.486,0.265,False,False,False,False,False,False
1873-01-01,1873,1,1870,Winter,-0.305,0.253,False,False,False,False,False,False
1873-02-01,1873,2,1870,Winter,-0.077,0.264,False,False,False,False,False,False
1873-03-01,1873,3,1870,Spring,-0.263,0.185,False,False,False,False,False,False
1873-04-01,1873,4,1870,Spring,-0.451,0.215,False,False,False,False,False,False
1873-05-01,1873,5,1870,Spring,-0.266,0.184,False,False,False,False,False,False
1873-06-01,1873,6,1870,Summer,-0.201,0.173,False,False,False,False,False,False
1873-07-01,1873,7,1870,Summer,-0.168,0.175,False,False,False,False,False,False
1873-08-01,1873,8,1870,Summer,-0.144,0.176,False,False,False,False,False,False
1873-09-01,1873,9,1870,Autumn,-0.372,0.216,False,False,False,False,False,False
1873-10-01,1873,10,1870,Autumn,-0.237,0.172,False,False,False,False,False,False
1873-11-01,1873,11,1870,Autumn,-0.339,0.198,False,False,False,False,False,False
1873-12-01,1873,12,1870,Winter,-0.224,0.23,False,False,False,False,False,False
1874-01-01,1874,1,1870,Winter,-0.211,0.249,False,False,False,False,False,False
1874-02-01,1874,2,1870,Winter,-0.263,0.198,False,False,False,False,False,False
1874-03-01,1874,3,1870,Spring,-0.624,0.167,False,True,False,False,False,False
1874-04-01,1874,4,1870,Spring,-0.355,0.183,False,False,False,False,False,False
1874-05-01,1874,5,1870,Spring,-0.211,0.243,False,False,False,False,False,False
1874-06-01,1874,6,1870,Summer,-0.314,0.17,False,False,False,False,False,False
1874-07-01,1874,7,1870,Summer,-0.257,0.196,False,False,False,False,False,False
1874-08-01,1874,8,1870,Summer,-0.175,0.189,False,False,False,False,False,False
1874-09-01,1874,9,1870,Autumn,-0.167,0.181,False,False,False,False,False,False
1874-10-01,1874,10,1870,Autumn,-0.311,0.178,False,False,False,False,False,False
1874-11-01,1874,11,1870,Autumn,-0.419,0.172,False,False,False,False,False,False
1874-12-01,1874,12,1870,Winter,-0.312,0.22,False,False,False,False,False,False
1875-01-01,1875,1,1870,Winter,-0.465,0.215,False,False,False,False,False,False
1875-02-01,1875,2,1870,Winter,-0.362,0.2,False,False,False,False,False,False
1875-03-01,1875,3,1870,Spring,-0.445,0.174,False,False,False,False,False,False
1875-04-01,1875,4,1870,Spring,-0.374,0.185,False,False,False,False,False,False
1875-05-01,1875,5,1870,Spring,-0.273,0.168,False,False,False,False,False,False
1875-06-01,1875,6,1870,Summer,-0.269,0.177,False,False,False,False,False,False
1875-07-01,1875,7,1870,Summer,-0.212,0.182,False,False,False,False,False,False
1875-08-01,1875,8,1870,Summer,-0.257,0.193,False,False,False,False,False,False
1875-09-01,1875,9,1870,Autumn,-0.277,0.175,False,False,False,False,False,False
1875-10-01,1875,10,1870,Autumn,-0.188,0.172,False,False,False,False,False,False
1875-11-01,1875,11,1870,Autumn,-0.573,0.197,False,True,False,False,False,False
1875-12-01,1875,12,1870,Winter,-0.46,0.226,False,False,False,False,False,False
1876-01-01,1876,1,1870,Winter,-0.372,0.227,False,False,False,False,False,False
1876-02-01,1876,2,1870,Winter,-0.265,0.201,False,False,False,False,False,False
1876-03-01,1876,3,1870,Spring,-0.286,0.164,False,False,False,False,False,False
1876-04-01,1876,4,1870,Spring,-0.272,0.164,False,False,False,False,False,False
1876-05-01,1876,5,1870,Spring,-0.522,0.183,False,True,False,False,False,False
1876-06-01,1876,6,1870,Summer,-0.329,0.149,False,False,False,False,False,False
1876-07-01,1876,7,1870,Summer,-0.166,0.19,False,False,False,False,False,False
1876-08-01,1876,8,1870,Summer,-0.308,0.197,False,False,False,False,False,False
1876-09-01,1876,9,1870,Autumn,-0.35,0.182,False,False,False,False,False,False
1876-10-01,1876,10,1870,Autumn,-0.261,0.169,False,False,False,False,False,False
1876-11-01,1876,11,1870,Autumn,-0.484,0.194,False,False,False,False,False,False
1876-12-01,1876,12,1870,Winter,-0.579,0.173,False,True,False,False,False,False
1877-01-01,1877,1,1870,Winter,-0.25,0.214,False,False,False,False,False,False
1877-02-01,1877,2,1870,Winter,-0.088,0.216,False,False,False,False,False,False
1877-03-01,1877,3,1870,Spring,0.055,0.155,True,False,False,False,False,False
1877-04-01,1877,4,1870,Spring,-0.119,0.181,False,False,False,False,False,False
1877-05-01,1877,5,1870,Spring,-0.045,0.209,False,False,False,False,False,False
1877-06-01,1877,6,1870,Summer,-0.059,0.154,False,False,False,False,False,False
1877-07-01,1877,7,1870,Summer,0.132,0.186,True,False,False,False,False,False
1877-08-01,1877,8,1870,Summer,0.23,0.201,True,False,False,False,False,False
1877-09-01,1877,9,1870,Autumn,0.161,0.183,True,False,False,False,False,False
1877-10-01,1877,10,1870,Autumn,0.189,0.177,True,False,False,False,False,False
1877-11-01,1877,11,1870,Autumn,0.212,0.184,True,False,False,False,False,False
1877-12-01,1877,12,1870,Winter,-0.081,0.197,False,False,False,False,False,False
1878-01-01,1878,1,1870,Winter,-0.004,0.208,False,False,False,False,False,False
1878-02-01,1878,2,1870,Winter,0.42,0.204,True,False,False,False,False,False
1878-03-01,1878,3,1870,Spring,0.576,0.162,True,False,False,False,False,False
